    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1680.945480   -1680.945467   -1680.945519      32.630520      32.585000       7.949165       0.008158      -0.024473
  100.000   -1680.945480   -1680.941920   -1680.957054      94.967363      94.964000      36.946165       2.233936      -7.262801
  200.000   -1680.945480   -1680.934048   -1680.974929     128.266182     128.268000      60.425165       7.173694     -18.479542
  300.000   -1680.945480   -1680.922959   -1680.997654     156.239532     156.237000      78.174165      14.132153     -32.739707
  400.000   -1680.945480   -1680.909285   -1681.024548     180.821713     180.821000      92.962165      22.712724     -49.615961
  500.000   -1680.945480   -1680.893489   -1681.055152     202.890298     202.890000     104.788165      32.624872     -68.820277
  600.000   -1680.945480   -1680.876030   -1681.089100     222.839260     222.839000     113.919165      43.580570     -90.122986
  700.000   -1680.945480   -1680.857292   -1681.126078     240.951290     240.951000     120.944165      55.338852    -113.327051
  800.000   -1680.945480   -1680.837565   -1681.165812     257.472844     257.472000     126.417165      67.717742    -138.260533
  900.000   -1680.945480   -1680.817061   -1681.208067     272.622417     272.622000     130.757165      80.584207    -164.775968
 1000.000   -1680.945480   -1680.795935   -1681.252639     286.586327     286.586000     134.258165      93.840983    -192.745344
 1100.000   -1680.945480   -1680.774304   -1681.299353     299.521362     299.521000     137.124165     107.414652    -222.058846
 1200.000   -1680.945480   -1680.752256   -1681.348055     311.558192     311.558000     139.500165     121.249992    -252.619838
 1300.000   -1680.945480   -1680.729862   -1681.398611     322.805142     322.805000     141.491165     135.302451    -284.344234
 1400.000   -1680.945480   -1680.707176   -1681.450902     333.353930     333.354000     143.175165     149.538143    -317.157359
 1500.000   -1680.945480   -1680.684243   -1681.504825     343.282274     343.282000     144.610165     163.928830    -350.994581
 1600.000   -1680.945480   -1680.661097   -1681.560284     352.655521     352.655000     145.842165     178.453176    -385.795658
 1700.000   -1680.945480   -1680.637769   -1681.617196     361.529551     361.530000     146.906165     193.091730    -421.508507
 1800.000   -1680.945480   -1680.614282   -1681.675487     369.953750     369.953000     147.831165     207.830057    -458.086693
 1900.000   -1680.945480   -1680.590658   -1681.735086     377.968429     377.968000     148.638165     222.654353    -495.485661
 2000.000   -1680.945480   -1680.566913   -1681.795933     385.611170     385.611000     149.347165     237.554578    -533.667762
